season,episode_num_in_season,title,us_viewers
7,10,The One with the Holiday Armadillo,23260000
7,11,The One with All the Cheesecakes,24370000
7,12,The One Where They're Up All Night,22860000
7,13,The One Where Rosita Dies,22240000
7,14,The One Where They All Turn Thirty,22400000
7,15,The One with Joey's New Brain,21750000
7,16,The One with the Truth About London,21220000
7,17,The One with the Cheap Wedding Dress,20840000
7,18,The One with Joey's Award,17810000
7,19,The One with Ross and Monica's Cousin,16540000
7,20,The One with Rachel's Big Kiss,16300000
7,21,The One with the Vows,15650000
7,22,The One with Chandler's Dad,17230000
7,23,The One with Monica and Chandler's Wedding: Part 1,30050000
7,24,The One with Monica and Chandler's Wedding: Part 2,30050000
8,1,The One After I Do,31700000
8,2,The One with the Red Sweater,30040000
8,3,The One Where Rachel Tells...,29200000
8,4,The One with the Videotape,25580000
8,5,The One with Rachel's Date,25640000
8,6,The One with the Halloween Party,26960000
8,7,The One with the Stain,24240000
8,8,The One with the Stripper,26540000
8,9,The One with the Rumor,24240000
8,10,The One with Monica's Boots,22440000
8,11,The One with Ross's Step Forward,23850000
8,12,The One Where Joey Dates Rachel,25530000
8,13,The One Where Chandler Takes a Bath,29240000
8,14,The One with the Secret Closet,28640000
8,15,The One with the Birthing Video,28640000
8,16,The One Where Joey Tells Rachel,27520000
8,17,The One with the Tea Leaves,26300000
8,18,The One in Massapequa,22050000
8,19,The One with Joey's Interview,22590000
8,20,The One with the Baby Shower,22240000
8,21,The One with the Cooking Class,23970000
8,22,The One Where Rachel Is Late,24310000
8,23,The One Where Rachel Has a Baby: Part 1,34910000
8,24,The One Where Rachel Has a Baby: Part 2,34910000
9,1,The One Where No One Proposes,34010000
9,2,The One Where Emma Cries,28930000
9,3,The One with the Pediatrician,26620000
9,4,The One with the Sharks,25810000
9,5,The One with Phoebe's Birthday Dinner,24460000
9,6,The One with the Male Nanny,27510000
9,7,The One with Ross's Inappropriate Song,25350000
9,8,The One with Rachel's Other Sister,26760000
9,9,The One with Rachel's Phone Number,25420000
9,10,The One with Christmas in Tulsa,22280000
9,11,The One Where Rachel Goes Back to Work,23670000
9,12,The One with Phoebe's Rats,23660000
9,13,The One Where Monica Sings,25820000
9,14,The One with the Blind Dates,23370000
9,15,The One with the Mugging,20850000
9,16,The One with the Boob Job,19520000
9,17,The One with the Memorial Service,21000000
9,18,The One with the Lottery,20790000
9,19,The One with Rachel's Dream,18240000
9,20,The One with the Soap Opera Party,20710000
9,21,The One with the Fertility Test,19030000
9,22,The One with the Donor,19550000
9,23,The One in Barbados: Part 1,25460000
9,24,The One in Barbados: Part 2,25460000
10,1,The One After Joey and Rachel Kiss,24540000
10,2,The One Where Ross Is Fine,22370000
10,3,The One with Ross's Tan,21870000
10,4,The One with the Cake,18760000
10,5,The One Where Rachel's Sister Babysits,19370000
10,6,The One with Ross' Grant,20370000
10,7,The One with the Home Study,20210000
10,8,The One with the Late Thanksgiving,20660000
10,9,The One with the Birth Mother,25480000
10,10,The One Where Chandler Gets Caught,26680000
10,11,The One Where the Stripper Cries,24910000
10,12,The One with Phoebe's Wedding,25900000
10,13,The One Where Joey Speaks French,24270000
10,14,The One with Princess Consuela,22820000
10,15,The One Where Estelle Dies,22640000
10,16,The One with Rachel's Going Away Party,24510000
10,17,The Last One,52460000
10,18,The Last One,52460000
